,diff,lwr,upr,p adj
Cambisol-Albeluvisol,7.828672114,-0.076672357,15.73401659,0.054292428
Gleysol-Albeluvisol,3.784752359,-6.37766673,13.94717145,0.945324582
Histosol-Albeluvisol,5.1086546,-3.573076662,13.79038586,0.614107959
Leptosol-Albeluvisol,16.10770952,7.936817135,24.2786019,3.14E-07
Luvisol-Albeluvisol,-0.043658572,-9.939100659,9.851783515,1
Stagnosol-Albeluvisol,6.253887096,-2.492530657,15.00030485,0.358163551
Vertisol-Albeluvisol,4.340437063,-7.966863639,16.64773776,0.958994502
Gleysol-Cambisol,-4.043919755,-11.50109664,3.41325713,0.707446524
Histosol-Cambisol,-2.720017515,-7.983778816,2.543743787,0.755646047
Leptosol-Cambisol,8.279037405,3.908887786,12.64918702,9.95E-07
Luvisol-Cambisol,-7.872330686,-14.96137148,-0.783289887,0.018299313
Stagnosol-Cambisol,-1.574785018,-6.9445661,3.794996063,0.985429627
Vertisol-Cambisol,-3.488235051,-13.6766783,6.700208201,0.965064857
Histosol-Gleysol,1.32390224,-6.951813655,9.599618135,0.99968151
Leptosol-Gleysol,12.32295716,4.584837347,20.06107697,6.94E-05
Luvisol-Gleysol,-3.828410931,-13.36962626,5.712804399,0.92022213
Stagnosol-Gleysol,2.469134737,-5.87441603,10.8126855,0.984641381
Vertisol-Gleysol,0.555684704,-11.46865172,12.58002113,0.999999937
Leptosol-Histosol,10.99905492,5.344305219,16.65380462,4.67E-07
Luvisol-Histosol,-5.152313171,-13.09790855,2.793282208,0.488896264
Stagnosol-Histosol,1.145232496,-5.313291743,7.603756736,0.999371858
Vertisol-Histosol,-0.768217537,-11.57017858,10.03374351,0.999998734
Luvisol-Leptosol,-16.15136809,-23.53537179,-8.767364395,1.08E-08
Stagnosol-Leptosol,-9.853822423,-15.60739175,-4.100253096,1.36E-05
Vertisol-Leptosol,-11.76727246,-22.16310754,-1.371437374,0.014855309
Stagnosol-Luvisol,6.297545668,-1.718678615,14.31376995,0.241315016
Vertisol-Luvisol,4.384095635,-7.415467018,16.18365829,0.945991961
Vertisol-Stagnosol,-1.913450033,-12.76746902,8.940568956,0.999395437
